Excel Row,Excel Title,Excel SKU,Primary SKU Searched,Shopify Product Title,Shopify Product ID,Shopify Product GID,Match Status,Match Method,Notes
66,Solid Timber Ceiling Pendant Light Fitting ~6858,TPBP1SHRWO,TPBP1SHRWO,Solid Timber Ceiling Pendant Light Fitting ~6858,15370555851138,gid://shopify/Product/15370555851138,MATCHED,GraphQL productVariants query by SKU,
67,Spotlight Bulb 9W GU10 ~6863,LPMC50CW9WAPK,LPMC50CW9WAPK,Spotlight Bulb 9W GU10 ~6863,15372357697922,gid://shopify/Product/15372357697922,MATCHED,GraphQL productVariants query by SKU,
68,Vintage Black Ceiling Light with White Crackle Glass E27 Holder ~6702,ENC9467,ENC9467,Vintage Black Ceiling Light with White Crackle Glass E27 Holder ~6702,15288722030978,gid://shopify/Product/15288722030978,MATCHED,GraphQL productVariants query by SKU,
69,Vintage Brass Wall Sconce Adjustable Clear Glass Wall Lamp ~6719,ENC9574,ENC9574,Vintage Brass Wall Sconce Adjustable Clear Glass Wall Lamp ~6719,15293724885378,gid://shopify/Product/15293724885378,MATCHED,GraphQL productVariants query by SKU,
70,Vintage Brass Wall Sconce with Amber Glass Shade E27 ~6715,ENC9550,ENC9550,Vintage Brass Wall Sconce with Amber Glass Shade E27 ~6715,15293716693378,gid://shopify/Product/15293716693378,MATCHED,GraphQL productVariants query by SKU,
71,Vintage Brass Wall Sconce with Amber Glass Shade E27 ~6716,ENC9549,ENC9549,Vintage Brass Wall Sconce with Amber Glass Shade E27 ~6716,15293716791682,gid://shopify/Product/15293716791682,MATCHED,GraphQL productVariants query by SKU,
72,Vintage Crystal Cage Table Lamp E27 Bedside Desk Lamp ~6819,TPHTTF2PBRBM+WCBTC120FG,TPHTTF2PBRBM+WCBTC120FG,Vintage Crystal Cage Table Lamp E27 Bedside Desk Lamp ~6819,15349432680834,gid://shopify/Product/15349432680834,MATCHED,GraphQL productVariants query by SKU,Resolved via full composite SKU match
73,Vintage Crystal Table Lamp E27 Wooden Base Bedside Lamp ~6830,TPHTTF2PBRBM+WCCYSP160GD,TPHTTF2PBRBM+WCCYSP160GD,Vintage Crystal Table Lamp E27 Wooden Base Bedside Lamp ~6830,15361622540674,gid://shopify/Product/15361622540674,MATCHED,GraphQL productVariants query by SKU,Resolved via full composite SKU match
74,Vintage Cylinder Pendant Light Shade ~6799,LSGL12010AR2PK+RPM40WH2PK,LSGL12010AR2PK+RPM40WH2PK,Vintage Cylinder Pendant Light Shade ~6799,15332789223810,gid://shopify/Product/15332789223810,MATCHED,GraphQL productVariants query by SKU,Resolved via full composite SKU match
75,Vintage Glass Table Lamp with Wooden Base E27 ~6684,TPHTTN2PBRBM+LSGLWB125TN,TPHTTN2PBRBM+LSGLWB125TN,Vintage Glass Table Lamp with Wooden Base E27 ~6684,15286318072194,gid://shopify/Product/15286318072194,MATCHED,GraphQL productVariants query by SKU,Resolved via full composite SKU match
76,Vintage Hammered Pendant Light 26cm E27 ~6827,CRSF100SN+PHHT1PBRCH+LSRP260SN,CRSF100SN+PHHT1PBRCH+LSRP260SN,Vintage Hammered Pendant Light 26cm E27 ~6827,15361606582658,gid://shopify/Product/15361606582658,MATCHED,GraphQL productVariants query by SKU,Resolved via full composite SKU match
77,Vintage Industrial Tea Brown Glass Pendant Light with LED Bulb ~6717,ENC9561,ENC9561,Vintage Industrial Tea Brown Glass Pendant Light with LED Bulb ~6717,15293721805186,gid://shopify/Product/15293721805186,MATCHED,GraphQL productVariants query by SKU,
78,Vintage Semi Flush Ceiling Light 20cm White Glass Shade ~6701,ENC9465,ENC9465,Vintage Semi Flush Ceiling Light 20cm White Glass Shade ~6701,15288721637762,gid://shopify/Product/15288721637762,MATCHED,GraphQL productVariants query by SKU,
79,Vintage Semi Flush Ceiling Light E27 Frosted Glass Indoor Lamp ~6875,CRSF100WH+LHNSE27WH+LSGL12010FC,CRSF100WH+LHNSE27WH+LSGL12010FC,Vintage Semi Flush Ceiling Light E27 Frosted Glass Indoor Lamp ~6875,15375332770178,gid://shopify/Product/15375332770178,MATCHED,GraphQL productVariants query by SKU,Resolved via full composite SKU match
80,Vintage Style Table Lamp with E27 Bulb Holder ~6824,TPHTTN2PBRBM+LSMCSQWYRE,TPHTTN2PBRBM+LSMCSQWYRE,Vintage Style Table Lamp with E27 Bulb Holder ~6824,15349451653506,gid://shopify/Product/15349451653506,MATCHED,GraphQL productVariants query by SKU,Resolved via full composite SKU match
81,Waterproof LED Sign Backlight Modules ~6838,IMAC9820WWCPK,IMAC9820WWCPK,Waterproof LED Sign Backlight Modules ~6838,15367230554498,gid://shopify/Product/15367230554498,MATCHED,GraphQL productVariants query by SKU,
82,Weatherproof Outdoor Electric Box Cover ~6908,WJ2GMP2BM,WJ2GMP2BM,Weatherproof Outdoor Electric Box Cover ~6908,15381172814210,gid://shopify/Product/15381172814210,MATCHED,GraphQL productVariants query by SKU,"Duplicate SKU resolved by title match | SKU maps to 2 products: ['15382140649858', '15381172814210']"
83,Wire Terminal Block Reusable Connector ~6901,COTL6624GY,COTL6624GY,Wire Terminal Block Reusable Connector ~6901,15381171569026,gid://shopify/Product/15381171569026,MATCHED,GraphQL productVariants query by SKU,
84,Wooden Base Table Lamp with Crackle Glass Shade & E27 LED Bulb~ 6723,TPHTTN2PBRBM+LSGLWS180YC,TPHTTN2PBRBM+LSGLWS180YC,Wooden Base Table Lamp with Crackle Glass Shade & E27 LED Bulb~ 6723,15297582989698,gid://shopify/Product/15297582989698,MATCHED,GraphQL productVariants query by SKU,Resolved via full composite SKU match
85,Vintage Black & Gold Hammered Metal Pendant Light  ~6635,ENC9252,ENC9252, Vintage Black & Gold Hammered Metal Pendant Light  ~6635,15269728747906,gid://shopify/Product/15269728747906,MATCHED,GraphQL productVariants query by SKU,
86,3 Head Chrome GU10 Ceiling Spotlight with Pull Chain ~6733,ENC9659,ENC9659,3 Head Chrome GU10 Ceiling Spotlight with Pull Chain ~6733,15302600425858,gid://shopify/Product/15302600425858,MATCHED,GraphQL productVariants query by SKU,
87,3 Light Glass Pendant Ceiling Light ~6922,ENC10233,ENC10233,3 Light Glass Pendant Ceiling Light ~6922,15388397830530,gid://shopify/Product/15388397830530,MATCHED,GraphQL productVariants query by SKU,
88,3 Light Pendant Ceiling Light E27 Tea Brown Glass Vintage Lamp ~6720,ENC9580,ENC9580,3 Light Pendant Ceiling Light E27 Tea Brown Glass Vintage Lamp ~6720,15295497470338,gid://shopify/Product/15295497470338,MATCHED,GraphQL productVariants query by SKU,
89,Antique Brass 3-Light Cluster Pendant ~6916,ENC10278,ENC10278,Antique Brass 3-Light Cluster Pendant ~6916,15384662507906,gid://shopify/Product/15384662507906,MATCHED,GraphQL productVariants query by SKU,
90,Crystal Pendant Light French Gold E27 Hanging Lamp ~6788,CRSF100FG+PHHT1PBRFG+WCBSF90FG,CRSF100FG+PHHT1PBRFG+WCBSF90FG,Crystal Pendant Light French Gold E27 Hanging Lamp ~6788,15326861263234,gid://shopify/Product/15326861263234,MATCHED,GraphQL productVariants query by SKU,Resolved via full composite SKU match
91,Decorative LED Sign Lighting Module ~6839,IMDC7714BGRNPK,IMDC7714BGRNPK,Decorative LED Sign Lighting Module ~6839,15367235371394,gid://shopify/Product/15367235371394,MATCHED,GraphQL productVariants query by SKU,
92,Glass Minimalist Ceiling Light E27 ~6845,ENC10173,ENC10173,Glass Minimalist Ceiling Light E27 ~6845,15368302854530,gid://shopify/Product/15368302854530,MATCHED,GraphQL productVariants query by SKU,
93,Industrial Black Gold Wall Sconce E27 Adjustable Lamp ~6802,CRSF100BM+WSAFT200BG,CRSF100BM+WSAFT200BG,Industrial Black Gold Wall Sconce E27 Adjustable Lamp ~6802,15334428311938,gid://shopify/Product/15334428311938,MATCHED,GraphQL productVariants query by SKU,Resolved via full composite SKU match
94,Industrial Black Pendant Light E27 Gold Inner Shade ~6789,CRSF100BM+LSACY195BG,CRSF100BM+LSACY195BG,Industrial Black Pendant Light E27 Gold Inner Shade ~6789,15326866997634,gid://shopify/Product/15326866997634,MATCHED,GraphQL productVariants query by SKU,Resolved via full composite SKU match
95,Industrial Loft Pendant Light Fixtures ~6800,ENC10011,ENC10011,Industrial Loft Pendant Light Fixtures ~6800,15333766103426,gid://shopify/Product/15333766103426,MATCHED,GraphQL productVariants query by SKU,
96,Vintage Industrial Copper Wall Light Amber Glass E27 ~6769,WSNWBC+WJ018RB3PBM+LSGLBC160AR+LDMST64E274,WSNWBC+WJ018RB3PBM+LSGLBC160AR+LDMST64E274,Vintage Industrial Copper Wall Light Amber Glass E27 ~6769,15317344092546,gid://shopify/Product/15317344092546,MATCHED,GraphQL productVariants query by SKU,Resolved via full composite SKU match
97,Vintage Multi Head Pendant Adjustable E27 Ribbed Glass Multi Color ~6852,ENC10232,ENC10232,Vintage Multi Head Pendant Adjustable E27 Ribbed Glass Multi Color ~6852,15370284466562,gid://shopify/Product/15370284466562,MATCHED,GraphQL productVariants query by SKU,
98,Vintage Wall Sconce Light E27 Glass Shade Chrome U Arm Indoor Lamp ~6866,CRSF120CH+WSUSHE27CH+LSGLDC160AS,title_search:6866,Vintage Wall Sconce Light E27 Glass Shade Chrome U Arm Indoor Lamp ~6866,15372658246018,gid://shopify/Product/15372658246018,MATCHED,GraphQL productVariants query by SKU,Resolved via product number + title match (6866)
99,Vintage Wall Sconce Light E27 Glass Shade Yellow Brass Arm Indoor Lamp ~6867,CRSF120YB+WSUSHE27YB+LSGLSC1508CL,title_search:6867,Vintage Wall Sconce Light E27 Glass Shade Yellow Brass Arm Indoor Lamp ~6867,15372659720578,gid://shopify/Product/15372659720578,MATCHED,GraphQL productVariants query by SKU,Resolved via product number title search (6867)
100,Wooden Wall Light E27 Amber Glass Sconce Indoor Vintage Lamp ~6776,WLWOHTBM+LSGL12010AR+CBSF75,WLWOHTBM+LSGL12010AR+CBSF75,Wooden Wall Light E27 Amber Glass Sconce Indoor Vintage Lamp ~6776,15319688511874,gid://shopify/Product/15319688511874,MATCHED,GraphQL productVariants query by SKU,Resolved via full composite SKU match
