product_item_id,shopify_id,sku,title,status,quantity,listing_max_platform_stock,compare_price,price,merch_avail,merch_sale_price,spend_30d,clicks_30d
8167014465786,8167014465786,,Industrial Bulb Guard Cage Table Lamp Wooden Base E27 Plug-In~5348,active,,,,,IN_STOCK,,0.53,1
8167014465786,8167014465786,,Industrial Bulb Guard Cage Table Lamp Wooden Base E27 Plug-In~5348,active,,,,,IN_STOCK,19.49,0.53,1
6024709603489,6024709603489,,1m Rose Gold Pendant Holder Kit~1699,active,,,,,IN_STOCK,,0.52,2
7984489267450,7984489267450,,"3Pack E27 Light Bulb Pendant Socket Holder,Screw White Plastic Lamp holder~4367",active,,,,,IN_STOCK,4.35,0.50,2
5543091536033,5543091536033,,E27 Cluster Ceiling Pendant Light with Fabric Flex ~2057,active,,,,,IN_STOCK,,0.50,2
7984489267450,7984489267450,,"3Pack E27 Light Bulb Pendant Socket Holder,Screw White Plastic Lamp holder~4367",active,,,,,IN_STOCK,,0.50,2
8174260060410,8174260060410,,Mens Heavy Duty Nylon Web Belt 120cm Tactical Quick Release Buckle Adjustable Work Belt For Men Travel Everyday ~5375,active,,,,,IN_STOCK,,0.48,2
8097288814842,8097288814842,,3 Head Wire Cage Hanging Pendant Light~5105,active,,,,,IN_STOCK,,0.48,2
8097288814842,8097288814842,,3 Head Wire Cage Hanging Pendant Light~5105,active,,,,,IN_STOCK,33.19,0.48,2
8137822208250,8137822208250,,Scenery Art Crystal Porcelain Wall Clock –Analog~5205,active,,,,,IN_STOCK,,0.48,2
4417257209952,4417257209952,,12V 60W LED Transformer 5A Switching Power Supply AC to DC~3332,active,,,,,IN_STOCK,,0.46,2
8009844654330,8009844654330,,Pipe lighting accessories Iron Galvanized Tread Tee Connector~4637,active,,,,,IN_STOCK,5.69,0.42,2
8113201152250,8113201152250,,Bedside Reading Table Lamps Light~5161,active,,,,,IN_STOCK,,0.41,3
8113201152250,8113201152250,,Bedside Reading Table Lamps Light~5161,active,,,,,IN_STOCK,19.99,0.41,3
7855951184122,7855951184122,,LED A60 E27 4W Bulb Filament Dimmable Screw Small Globe Light Bulb~4095,active,,,,,IN_STOCK,,0.40,1
7855951184122,7855951184122,,LED A60 E27 4W Bulb Filament Dimmable Screw Small Globe Light Bulb~4095,active,,,,,IN_STOCK,1.55,0.40,1
7845306466554,7845306466554,,Antique Brass Table Lamp Black Cage Design ~4076,active,,,,,IN_STOCK,,0.38,2
5282330738849,5282330738849,,Diamond Easy Fit Lamp Shade Metal Cage~2191,active,,,,,IN_STOCK,6.65,0.36,2
8156701393146,8156701393146,,Foldable Leaves Laundry Basket Organizer For Dirty Clothes Storage~5276,active,,,,,IN_STOCK,,0.36,2
4417275461728,4417275461728,,Vintage LED Filament Bulb Bayonet G95 B22 8W Dimmable LED Globe Bulb ~3085,active,,,,,IN_STOCK,,0.32,1
4417274904672,4417274904672,,Green Brass 100mm Ceiling Rose | Vintage Single Outlet Metal Canopy ~3093,active,,,,,IN_STOCK,,0.32,2
4417259012192,4417259012192,,IP67 DC 24V 24W LED Driver Constant Voltage Power Supply Transformer~3301,active,,,,,IN_STOCK,7.29,0.31,1
7984164471034,7984164471034,,"2Pack Yellow LED Wall Light Sconce Wood,15cm Lamp Shade,E27 Lamp Holder~4350",active,,,,,IN_STOCK,,0.30,2
8160579059962,8160579059962,,Vintage Industrial Adjustable Plug In Wall Light E27 Lamp ~5296,active,,,,,IN_STOCK,,0.30,2
6754266120353,6754266120353,,Multi Outlet Chrome Metal Ceiling Rose 120x25mm~1459,active,,,,,IN_STOCK,,0.29,1
6754266120353,6754266120353,,Multi Outlet Chrome Metal Ceiling Rose 120x25mm~1459,active,,,,,IN_STOCK,4.48,0.29,1
7910139199738,7910139199738,,235mm Ceiling Rose Strap Side fitting Bracket~4119,active,,,,,IN_STOCK,,0.28,2
7470952153338,7470952153338,,Satin Nickel Lamp Shade Cap for Pendant Light Socket Holder Fitting~1033,active,,,,,IN_STOCK,,0.27,2
7984498868474,7984498868474,,Screw E27 Socket Lamp Holder Base Pendant Socket Cap Bulb Holder Lampshade~4381,active,,,,,IN_STOCK,3.49,0.27,3
8630672883962,8630672883962,,100mm  Metal mounting  Ceiling Rose For Light Fitting ~5528,active,,,,,IN_STOCK,,0.27,1
7470952153338,7470952153338,,Satin Nickel Lamp Shade Cap for Pendant Light Socket Holder Fitting~1033,active,,,,,IN_STOCK,2.49,0.27,2
6751752224929,6751752224929,,Chrome Ceiling Rose 108mm Diameter Vintage Light Fitting~1468,active,,,,,IN_STOCK,,0.26,2
6751752224929,6751752224929,,Chrome Ceiling Rose 108mm Diameter Vintage Light Fitting~1468,active,,,,,IN_STOCK,4.39,0.26,2
6860377555105,6860377555105,,Vintage  Modern Metal Ceiling Pendant Light Chrome Hanging Lamp With 95cm Adjustable Wire~1337,active,,,,,IN_STOCK,,0.24,1
6860377555105,6860377555105,,Vintage  Modern Metal Ceiling Pendant Light Chrome Hanging Lamp With 95cm Adjustable Wire~1337,active,,,,,IN_STOCK,41.29,0.24,1
5742787100833,5742787100833,,Brushed Silver Drum Metal Wire Cage Ceiling Pendant Lampshade ~1994,active,,,,,IN_STOCK,,0.23,1
5742787100833,5742787100833,,Brushed Silver Drum Metal Wire Cage Ceiling Pendant Lampshade ~1994,active,,,,,IN_STOCK,3.88,0.23,1
5866683007137,5866683007137,,Metal Pendant Gold Light Shade Geometric Wire Cage ~1904,active,,,,,IN_STOCK,7.29,0.22,1
5866683007137,5866683007137,,Metal Pendant Gold Light Shade Geometric Wire Cage ~1904,active,,,,,IN_STOCK,,0.22,1
14880702562690,14880702562690,,Vintage Metal Single Head Shade E27  Hanging Pendant Light ~6670,active,,,,,IN_STOCK,,0.20,0
7910311821562,7910311821562,,StrongCeiling Plate Suspension Plate Hanging Lamp - Brushed Brass~4140,active,,,,,IN_STOCK,,0.20,2
4553369419872,4553369419872,,12V 150W Ultra Slim LED Driver – 12.5A AC/DC Power Supply Transformer~2356,active,,,,,IN_STOCK,13.59,0.20,1
5282330738849,5282330738849,,Diamond Easy Fit Lamp Shade Metal Cage~2191,active,,,,,IN_STOCK,7.99,0.18,1
6818356887713,6818356887713,,Red Vintage Industrial Metal Wire Cage Easy Fit Lampshades ~1413,active,,,,,IN_STOCK,,0.18,0
8175026798842,8175026798842,,Woven Leather Belt Men's Adjustable for jeans~5379,active,,,,,IN_STOCK,,0.16,0
6845851041953,6845851041953,,Modern Vintage Ceiling Pendant Light Cone Shade Shape Hanging Light ~1363,active,,,,,IN_STOCK,,0.13,1
4417254293600,4417254293600,,Black Shade Ring Iron Ceiling Pendants Fixtures Holder ~3366,active,,,,,IN_STOCK,2.49,0.13,1
7469127303418,7469127303418,,Vintage LED E27 Bulb G125 4W Music Filament Screw Bulb Warm White~1041,active,,,,,IN_STOCK,,0.13,1
7469127303418,7469127303418,,Vintage LED E27 Bulb G125 4W Music Filament Screw Bulb Warm White~1041,active,,,,,IN_STOCK,7.10,0.13,1
4417254293600,4417254293600,,Black Shade Ring Iron Ceiling Pendants Fixtures Holder ~3366,active,,,,,IN_STOCK,,0.13,1
6845851041953,6845851041953,,Modern Vintage Ceiling Pendant Light Cone Shade Shape Hanging Light ~1363,active,,,,,IN_STOCK,21.47,0.13,1
7470952481018,7470952481018,,Yellow Brass Lamp Shade Cap for Pendant Light Socket Holder Fitting~1029,active,,,,,IN_STOCK,,0.12,1
7470952481018,7470952481018,,Yellow Brass Lamp Shade Cap for Pendant Light Socket Holder Fitting~1029,active,,,,,IN_STOCK,2.49,0.12,1
4505246433376,4505246433376,,Industrial Black Cage Wall light~2568,active,,,,,IN_STOCK,,0.10,0
6818356887713,6818356887713,,Red Vintage Industrial Metal Wire Cage Easy Fit Lampshades ~1413,active,,,,,IN_STOCK,7.46,0.09,0
7982925283578,7982925283578,,10 Pack E27 Pendant Light Fitting Set with Adjustable Cable ~4253,active,,,,,IN_STOCK,,0.08,0
14877951099266,14877951099266,,Vintage LED Edison Bulb 4W E27 Decorative Bulb Non Dimmable ~5614,active,,,,,IN_STOCK,,0.07,1
14877951099266,14877951099266,,Vintage LED Edison Bulb 4W E27 Decorative Bulb Non Dimmable ~5614,active,,,,,IN_STOCK,7.55,0.07,1
5956003266721,5956003266721,,Rattan Wicker Yellow Woven Ball Globe Two Outlet Pendant Lampshade~1816,active,,,,,IN_STOCK,29.99,0.05,1
5956003266721,5956003266721,,Rattan Wicker Yellow Woven Ball Globe Two Outlet Pendant Lampshade~1816,active,,,,,IN_STOCK,,0.05,1
4417286635616,4417286635616,,Antique Copper E27 Metal Lamp Bulb Holdermetal~2935,active,,,,,IN_STOCK,,0.05,0
