product_item_id,product_id,variant_id,sku,product_title,campaign_id,site,status,quantity,compare_price,current_price,total_clicks,total_spend,total_conversions,total_conversion_value,compare_price_bucket
shopify_gb_8630295331066_46692068524282,8630295331066,46692068524282,CRSF100LCO2PK,Copper / Pack 2,22079334413,UK,active,41,,9.59,0,0.00,0.00,0.00,NULL
shopify_gb_4417256390752_31497526181984,4417256390752,31497526181984,12IP2060,Default Title,22079334413,UK,active,34,,8.89,0,0.00,0.00,0.00,NULL
shopify_gb_4417283981408_31497590472800,4417283981408,31497590472800,LHBPE27BM+CGMLBM,Default Title,21242723265,UK,active,2542,,4.49,0,0.00,0.00,0.00,NULL
shopify_gb_4417285226592_31497601024096,4417285226592,31497601024096,LHC4E27WH,Default Title,21242723265,UK,active,1037,0.00,3.89,0,0.00,0.00,0.00,ZERO
shopify_gb_4417289453664_31497607151712,4417289453664,31497607151712,RD205PK,Default Title,21242723265,UK,active,382,,4.29,0,0.00,0.00,0.00,NULL
shopify_gb_4417292107872_31497611346016,4417292107872,31497611346016,NFEC8,Default Title,21242723265,UK,active,471,,1.49,0,0.00,0.00,0.00,NULL
shopify_gb_4417292173408_31497611411552,4417292173408,31497611411552,NFEC15,Default Title,21242723265,UK,active,35,,1.49,0,0.00,0.00,0.00,NULL
shopify_gb_4417292501088_31497613049952,4417292501088,31497613049952,NFMR17,Default Title,22079334413,UK,active,1779,,1.99,0,0.00,0.00,0.00,NULL
shopify_gb_4417292763232_31497613279328,4417292763232,31497613279328,NFCP9,Default Title,21242723265,UK,active,595,,1.49,0,0.00,0.00,0.00,NULL
shopify_gb_4536795693152_31926702768224,4536795693152,31926702768224,WCB6BC+RPR44WH,Default Title,21242723265,UK,active,384,,8.69,0,0.00,0.00,0.00,NULL
shopify_gb_4538255540320_31931235729504,4538255540320,31931235729504,CBSF195,Default Title,21242723265,UK,active,920,0.00,5.99,0,0.00,0.00,0.00,ZERO
shopify_gb_4538255704160_31931235893344,4538255704160,31931235893344,CBSF165,Default Title,21242723265,UK,active,877,0.00,5.59,0,0.00,0.00,0.00,ZERO
shopify_gb_4538255966304_31931236188256,4538255966304,31931236188256,CBSF110,Default Title,21242723265,UK,active,458,0.00,4.49,0,0.00,0.00,0.00,ZERO
shopify_gb_4538256162912_31931236352096,4538256162912,31931236352096,CBSF90,Default Title,21242723265,UK,active,722,0.00,4.49,0,0.00,0.00,0.00,ZERO
shopify_gb_4542939234400_31949919780960,4542939234400,31949919780960,CRSF1203BM+HK10BM3PK,3 Outlet,21242723265,UK,active,0,,9.48,0,0.00,0.00,0.00,NULL
shopify_gb_4542939234400_31949919879264,4542939234400,31949919879264,CRSF1205BM+HK10BM5PK,5 Outlet,21069663519,UK,active,0,,11.98,0,0.00,0.00,0.00,NULL
shopify_gb_4542939234400_31949919977568,4542939234400,31949919977568,CRSF1208BM+HK10BM8PK,8 Outlet,21242723265,UK,active,0,,14.98,0,0.00,0.00,0.00,NULL
shopify_gb_4590874787936_32131136192608,4590874787936,32131136192608,PHUH1HETBM+LSCG185AR,Cone,23110323532,UK,active,182,,17.59,0,0.00,0.00,0.00,NULL
shopify_gb_4590874787936_32131136258144,4590874787936,32131136258144,PHUH1HETBM+LSGD280AR,Bowl,22079334413,UK,active,160,,28.89,0,0.00,0.00,0.00,NULL
shopify_gb_5238207807649_34408437022881,5238207807649,34408437022881,WJB3,3 Way,22079334413,UK,active,542,,4.29,0,0.00,0.00,0.00,NULL
shopify_gb_5240106352801_34419248988321,5240106352801,34419248988321,CO123ACL,3A / 1,21242723265,UK,active,0,,0.18,0,0.00,0.00,0.00,NULL
shopify_gb_5240106352801_34419249381537,5240106352801,34419249381537,CO1215ACL,15A / 1,21242723265,UK,active,2499,,0.49,0,0.00,0.00,0.00,NULL
shopify_gb_5240106352801_34419249447073,5240106352801,34419249447073,CO1215ACLAPK,15A / 10,21242723265,UK,active,249,,4.25,0,0.00,0.00,0.00,NULL
